X	0	251	5
X	251	544	5
X	550	576	5
X	583	757	19
X	772	823	19
X	823	871	20
X	878	942	19
X	942	1008	19
X	1008	1100	19
X	1116	3131	21
X	3174	3202	13
X	3205	3393	20
X	3401	3442	20
X	3442	3477	20
X	3477	3762	20
X	3762	3785	3
X	3805	3835	9
X	3835	3943	10
X	3943	3966	9
X	3972	4019	7
X	4019	4221	6
X	4221	4618	5
X	4618	4690	4
X	4690	4798	3
X	4798	5158	2
X	5158	5240	3
X	5240	5323	4
X	5323	5613	4
X	5613	5633	0
X	5633	6414	5
X	6414	6823	4
X	6838	6905	2
X	7711	7815	1
X	7815	7967	2
X	7967	8673	3
X	8673	8717	2
X	8717	8769	1
X	9180	10121	1
X	10128	10299	3
X	10308	10404	5
X	10418	10565	3
X	10565	10632	2
X	10712	10750	1
X	10750	10830	2
X	10830	10856	4
X	10856	11049	5
X	11253	11617	1
X	11617	11679	2
X	11679	11801	1
X	11861	11887	2
X	11887	12234	4
X	12256	12321	2
X	12321	12382	2
X	12385	12490	2
X	12490	12548	2
X	12548	12649	2
X	12649	12699	2
X	12699	12769	3
X	12769	12813	3
X	12813	13078	3
X	13078	13104	3
X	13104	13139	4
X	13146	13211	4
X	13230	13412	2
X	13412	13539	1
X	14075	14099	2
X	14099	14270	3
X	14270	14322	2
X	14326	14366	6
X	14381	14610	4
X	14624	14646	4
X	14646	14698	3
X	14698	14800	2
X	14800	14840	3
X	14851	14909	6
X	14909	15054	7
X	15054	15123	6
X	15123	15175	5
X	15175	15210	4
X	15210	15302	3
X	15302	15373	4
X	15374	15425	3
X	15425	15548	4
X	15548	15572	5
X	15572	15599	6
X	15599	15633	5
X	15633	15692	6
X	15696	15722	8
X	15740	15886	19
X	15886	15929	17
X	15929	15957	11
X	15957	15977	2
X	15977	16008	10
X	16023	16107	11
X	16107	16164	12
X	16164	16267	11
X	16267	16508	12
X	16508	16572	11
X	16572	16695	10
X	16696	16777	8
X	16777	16891	7
X	16891	16916	3
X	16916	16949	5
X	16949	17052	6
X	17052	17094	5
X	17094	17283	4
X	17302	17464	2
X	17464	17516	3
X	17516	17548	2
X	17708	17755	3
X	17755	17796	4
X	17796	17904	2
X	17904	18765	4
X	18765	19089	5
X	19089	19147	4
X	19147	19219	3
X	19219	19248	3
X	19248	19428	4
X	19428	19457	3
X	19466	19576	5
X	19592	19614	4
X	19614	19653	4
X	19665	19725	2
X	19725	19754	1
X	19754	19858	2
X	19858	19920	1
X	19934	20292	5
X	20292	20567	5
X	20567	20608	4
X	20608	21122	5
X	21122	21203	4
X	21203	21689	5
X	21693	22037	5
X	22061	22798	6
X	22800	22838	3
X	22838	22874	2
X	22874	22910	1
X	24009	24337	1
X	24498	24628	1
X	25147	25334	1
X	25337	25441	3
X	25441	25471	2
X	25476	25822	3
X	25827	25903	3
X	25903	25997	2
X	25997	26337	1
X	26675	26855	1
X	26855	26975	3
X	26975	27161	5
X	27182	27208	6
X	27208	27306	7
X	27316	27353	6
X	27353	27574	8
X	27574	27801	7
X	27801	27858	8
X	27858	27887	6
X	27887	28473	8
X	28473	28898	8
X	28911	28950	6
X	28950	29636	5
X	29637	29741	3
X	29741	29778	2
X	29805	30431	4
X	30431	30944	3
X	30963	31621	5
X	31621	31786	4
X	31793	31864	5
X	31864	31904	1
X	31910	31941	4
X	31941	31983	2
X	31983	32074	4
X	32074	32304	5
X	32304	32327	4
X	32334	32389	9
X	32389	32436	11
X	32477	32768	19
X	32768	32795	1
X	32795	32828	16
X	32834	33024	20
X	33024	33053	19
X	33053	33091	18
X	33095	33268	20
X	33268	33293	2
X	33293	33332	1
X	33332	33354	5
X	33386	33538	20
X	33538	33638	19
X	33638	33680	1
X	33687	33710	11
X	33710	33742	10
X	33748	33842	6
X	33842	33903	5
X	33903	34172	2
X	34172	34664	2
X	34664	34701	3
X	34701	34884	4
X	34886	34921	3
X	34921	35136	2
X	35136	35203	1
X	35203	35387	2
X	35388	35530	2
X	35549	36345	2
X	36345	36497	1
X	36497	36674	2
X	36674	36743	1
X	36743	37004	2
X	37004	37332	1
X	37332	37619	2
X	37619	37740	3
X	37743	37775	3
X	37775	37815	4
X	37819	37858	6
X	37858	37883	3
X	37883	37906	9
X	37916	38320	20
X	38320	38404	21
X	38404	38522	20
X	38532	38557	8
